Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 23.53      0.20     0.20       71     2.82     5.00  Grid::__debug__setRandomColor(unsigned long)
 14.12      0.32     0.12       71     1.69     6.09  Engine::drawGrid()
  9.41      0.40     0.08 28349460     0.00     0.00  std::vector<Cell, std::allocator<Cell> >::size() const
  8.24      0.47     0.07 86544424     0.00     0.00  std::vector<std::vector<Cell, std::allocator<Cell> >, std::allocator<std::vector<Cell, std::allocator<Cell> > > >::operator[](unsigned long)
  8.24      0.54     0.07 83827784     0.00     0.00  Grid::getGrid()
  5.88      0.59     0.05 58195992     0.00     0.00  std::vector<Cell, std::allocator<Cell> >::operator[](unsigned long)
  4.71      0.63     0.04 55909392     0.00     0.00  __gnu_cxx::__normal_iterator<Cell*, std::vector<Cell, std::allocator<Cell> > >::base() const
  4.71      0.67     0.04 29491224     0.00     0.00  Cell::getRect()
  4.71      0.71     0.04 27954696     0.00     0.00  bool __gnu_cxx::operator!=<Cell*, std::vector<Cell, std::allocator<Cell> > >(__gnu_cxx::__normal_iterator<Cell*, std::vector<Cell, std::allocator<Cell> > > const&, __gnu_cxx::__normal_iterator<Cell*, std::vector<Cell, std::allocator<Cell> > > const&)
  3.53      0.74     0.03 83755014     0.00     0.00  Cell::getColor()
  3.53      0.77     0.03 27918342     0.00     0.00  __gnu_cxx::__normal_iterator<Cell*, std::vector<Cell, std::allocator<Cell> > >::operator*() const
  2.35      0.79     0.02 27918342     0.00     0.00  __gnu_cxx::__normal_iterator<Cell*, std::vector<Cell, std::allocator<Cell> > >::operator++()
  2.35      0.81     0.02        2    10.00    10.00  Button::Button()
  2.35      0.83     0.02                             _init
  1.18      0.84     0.01        1    10.00    15.00  Grid::Grid(unsigned short)
  0.59      0.84     0.01    72708     0.00     0.00  __gnu_cxx::__normal_iterator<Cell*, std::vector<Cell, std::allocator<Cell> > >::__normal_iterator(Cell* const&)
  0.59      0.85     0.01        2     2.50     2.50  std::remove_reference<std::vector<std::vector<Cell, std::allocator<Cell> >, std::allocator<std::vector<Cell, std::allocator<Cell> > > >&>::type&& std::move<std::vector<std::vector<Cell, std::allocator<Cell> >, std::allocator<std::vector<Cell, std::allocator<Cell> > > >&>(std::vector<std::vector<Cell, std::allocator<Cell> >, std::allocator<std::vector<Cell, std::allocator<Cell> > > >&)
  0.00      0.85     0.00  1574944     0.00     0.00  __gnu_cxx::__normal_iterator<Cell const*, std::vector<Cell, std::allocator<Cell> > >::base() const
  0.00      0.85     0.00   788431     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.85     0.00   787472     0.00     0.00  bool __gnu_cxx::operator!=<Cell const*, std::vector<Cell, std::allocator<Cell> > >(__gnu_cxx::__normal_iterator<Cell const*, std::vector<Cell, std::allocator<Cell> > > const&, __gnu_cxx::__normal_iterator<Cell const*, std::vector<Cell, std::allocator<Cell> > > const&)
  0.00      0.85     0.00   787218     0.00     0.00  void std::_Construct<Cell, Cell const&>(Cell*, Cell const&)
  0.00      0.85     0.00   787218     0.00     0.00  Cell* std::__addressof<Cell>(Cell&)
  0.00      0.85     0.00   787218     0.00     0.00  Cell const& std::forward<Cell const&>(std::remove_reference<Cell const&>::type&)
  0.00      0.85     0.00   786444     0.00     0.00  __gnu_cxx::__normal_iterator<Cell const*, std::vector<Cell, std::allocator<Cell> > >::operator++()
  0.00      0.85     0.00   786444     0.00     0.00  __gnu_cxx::__normal_iterator<Cell const*, std::vector<Cell, std::allocator<Cell> > >::operator*() const
